The Immortal Life of Henrietta Lacks,Rebecca Skloot,Nonfiction Science Biography History Health Medicine,February 2nd 2010,370,Crown Publishing Group,English,1400052173,9781400052172,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks,
Animal; Vegetable; Miracle: A Year of Food Life,Barbara Kingsolver Steven L. Hopp Camille Kingsolver Richard A. Houser,Nonfiction Food and Drink Food Autobiography Memoir Environment Nature Food and Drink Cookbooks,May 1st 2007,370,HarperCollins Publishers,English,0060852550,9780060852559,https://www.goodreads.com/book/show/25460.Animal_Vegetable_Miracle,
Ready Player One,Ernest Cline,Science Fiction Fiction Young Adult Science Fiction Dystopia Fantasy,August 16th 2011,374,Crown Publishers,English,030788743X,9780307887436,https://www.goodreads.com/book/show/9969571-ready-player-one,
Eragon,Christopher Paolini,Fantasy Young Adult Fiction Fantasy Dragons,April 2005,503,Alfred A. Knopf Books for Young Readers,English,0375826696,9780375826696,https://www.goodreads.com/book/show/113436.Eragon,
The Five People You Meet in Heaven,Mitch Albom,Fiction Spirituality Contemporary Christian Literature,September 23rd 2003,196,Hyperion,,1401308589,9781401308582,https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,
On Beauty,Zadie Smith,Fiction Contemporary Novels,August 29th 2006,445,Penguin Books,English,0143037749,9780143037743,https://www.goodreads.com/book/show/3679.On_Beauty,
Between Shades of Gray,Ruta Sepetys,Young Adult Historical Historical Fiction Historical War War World War II,March 22nd 2011,344,Philomel Books,English,0399254129,9780399254123,https://www.goodreads.com/book/show/7824322-between-shades-of-gray,
We Need to Talk About Kevin,Lionel Shriver,Fiction Contemporary Thriller Mystery Crime,July 3rd 2006,400,Harper Perennial,English,006112429X,9780061124297,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin,
The Undomestic Goddess,Sophie Kinsella,Womens Fiction Chick Lit Romance Fiction Contemporary Humor,April 25th 2006,404,Dial Press Trade Paperback,English,0385338694,9780385338691,https://www.goodreads.com/book/show/33722.The_Undomestic_Goddess,
Harry Potter and the Half-Blood Prince,J.K. Rowling Kazu Kibuishi Mary GrandPré,Fantasy Young Adult Fiction,September 2013,652,Scholastic,English,0545582997,9780545582995,https://www.goodreads.com/book/show/17347380-harry-potter-and-the-half-blood-prince,
The Language of Flowers,Vanessa Diffenbaugh,Fiction Parenting Adoption Literary Fiction Fostering Foster Children Novels Drama Family Law Fostering Family Contemporary Young Adult,August 23rd 2011,323,Ballantine Books,English,034552554X,9780345525543,https://www.goodreads.com/book/show/10032672-the-language-of-flowers,
The Prague Cemetery,Umberto Eco Richard Dixon,Fiction Historical Historical Fiction Literature,November 8th 2011,445,Houghton Mifflin Harcourt,English,0547577532,9780547577531,https://www.goodreads.com/book/show/10314376-the-prague-cemetery,
Billy Lynn's Long Halftime Walk,Ben Fountain,Fiction War Literary Fiction Contemporary Novels,May 1st 2012,307,Ecco,English,0060885599,9780060885595,https://www.goodreads.com/book/show/13325079-billy-lynn-s-long-halftime-walk,
The Zombie Room,R.D. Ronald,Thriller Mystery Fiction Mystery Crime Contemporary Suspense Horror Adult,July 26th 2012,256,Book Guild Publishing,,,9781846247194,https://www.goodreads.com/book/show/13568322-the-zombie-room,
Annihilation,Jeff VanderMeer,Science Fiction Fiction Horror Fantasy Mystery,February 4th 2014,195,Farrar; Straus and Giroux,English,0374104093,9780374104092,https://www.goodreads.com/book/show/17934530-annihilation,
